Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,1,2,3,Sales Executive,4,5993,8,Yes,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,2,3,2,Research Scientist,2,5130,1,No,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,4,4,2,Laboratory Technician,3,2090,6,Yes,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,5,4,3,Research Scientist,3,2909,1,Yes,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,7,1,3,Laboratory Technician,2,3468,9,No,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,8,4,3,Laboratory Technician,4,3068,0,No,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,10,3,4,Laboratory Technician,1,2670,4,Yes,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,11,4,3,Laboratory Technician,3,2693,1,No,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,12,4,2,Manufacturing Director,3,9526,0,No,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,13,3,3,Healthcare Representative,3,5237,6,No,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,14,1,4,Laboratory Technician,2,2426,0,No,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,15,4,2,Laboratory Technician,3,4193,0,Yes,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,16,1,3,Research Scientist,3,2911,1,No,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,18,2,3,Laboratory Technician,4,2661,0,No,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,19,3,2,Laboratory Technician,3,2028,5,Yes,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,20,2,4,Manufacturing Director,1,9980,1,No,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,21,1,4,Research Scientist,2,3298,0,Yes,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,22,4,4,Laboratory Technician,4,2935,1,Yes,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,23,1,2,Manager,4,15427,2,No,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,24,4,3,Research Scientist,4,3944,5,Yes,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,26,1,4,Manufacturing Director,3,4011,0,No,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,27,3,2,Sales Representative,1,3407,7,No,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,28,1,3,Research Director,2,11994,0,No,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,30,3,3,Research Scientist,4,1232,1,No,6,3,0,0,0,0
